serialNum,userID,comments,ratings
DEW-DCD771C2-22-001,12,"Great drill! Had no issues with my deck project.",5
DEW-DCD771C2-24-001,5,"Powerful and the battery lasted forever. Highly recommend.",5
MAK-XFD131-23-001,22,"Lighter than I expected, which was nice. Worked well.",4
RYO-P215K-22-001,40,"Did the job for hanging shelves. Good value.",4
MIL-280120-23-001,5,"This thing is a beast. 10/10.",5
BND-BDERO100-21-001,18,"A bit weak, but it got the sanding done eventually.",3
BND-BDERO100-23-001,33,"Easy to handle. The dust bag filled up fast.",4
BOS-ROS20VSC-22-001,2,"Worked great for refinishing my table.",5
DEW-DWE6421-23-001,28,"Good sander, no complaints.",4
EGO-LB6504-23-001,19,"So much power! Cleared my yard in minutes.",5
RYO-RY40470-22-001,42,"Battery died faster than I hoped, but it's powerful.",3
TOR-51621-21-001,1,"Decent for a small yard. The cord is annoying.",3
EGO-LB5804-22-001,15,"Worked perfectly. Not too heavy.",5
GRW-25022-22-001,37,"Mower was quiet and cut evenly. Great rental.",5
SNJ-MJ401E-21-001,22,"A bit small, but perfect for my tiny lawn.",4
RYO-RYAC130-23-001,1,"Rented this before. Still works great.",4
SNJ-SPX3000-22-001,7,"Pressure washer worked great on my driveway.",5
KAR-K1700-22-001,10,"Not as strong as I expected. Took a long time.",2
EPS-HC1080-21-001,25,"Projector was blurry and hard to focus.",2
BEN-TH575-22-001,30,"Awesome projector for movie night!",5
ANK-NEBSOL-23-001,11,"Super portable and easy to set up. Loved it.",5
LFT-22901-20-001,44,"Table was sturdy and clean.",4
COS-14088-21-001,3,"A bit wobbly, but held all the food fine.",3
LFT-80160-23-001,17,"Perfect size for our party.",5
COL-SUN4P-22-001,31,"Tent was easy to set up, but a zipper was sticky.",3
REI-HD2-23-001,23,"Great tent, held up in the rain.",5
COL-MON8P-22-001,4,"Huge tent! Fit the whole family.",5
SNG-4423-21-001,9,"Sewing machine kept jamming. Very frustrating.",1
BRO-CS6000I-22-001,16,"So many stitches! Worked perfectly for my quilt.",5
WER-6006-22-001,20,"Sturdy ladder. Felt very safe.",5
LTL-10102-21-001,35,"This ladder is amazing. A bit heavy, but so versatile.",5
KAD-KSM150-22-001,41,"Made baking so much easier. Loved the color.",5
CUI-SM50-23-001,2,"Worked well, but it's very loud.",3
KAD-KSM3311-23-001,38,"Perfect size for my small kitchen. Handled dough well.",4
DEW-DCD771C2-22-001,3,"User 12 must have gotten a good one. Mine was weak.",2
MAK-XFD131-23-001,14,"Battery was dead on arrival. Had to wait for a swap.",1
EGO-LB6504-23-001,6,"Incredible power. A bit heavy.",4
SNJ-MJ401E-21-001,27,"Mower blade was dull. Didn't cut well.",2
SNJ-SPX3000-24-001,8,"Brand new and worked flawlessly.",5
EPS-HC1080-23-001,13,"Great picture quality for the price.",4
COL-SUN4P-24-001,36,"Item was clearly marked for maintenance but I got it anyway? Confusing. Seemed fine.",3
GOR-GLX5B-23-001,43,"Lightweight and very stable.",5
KAD-KSM150-24-001,29,"Top of the line. Worth the rental cost.",5
BOS-ROS20VSC-22-001,32,"Dust collection was poor, made a huge mess.",2
LFT-22901-22-001,45,"Standard folding table. Did its job.",4
WER-6004-23-001,21,"Simple step ladder, perfect for changing lightbulbs.",5
SNG-M3330-23-001,34,"Good for beginners, but struggled with thick fabric.",3
SNG-4423-23-001,39,"This heavy duty machine is no joke. Sews through denim easily.",5