city,address,phone,mName,storeCap,droneCap
Columbus,"123 Main St, Columbus, OH 43215",(614) 555-0101,John Smith,2500,20
Cleveland,"456 Oak Ave, Cleveland, OH 44114",(216) 555-0102,Mary Garcia,3000,25
Cincinnati,"789 Pine Ln, Cincinnati, OH 45202",(513) 555-0103,David Lee,2000,15
Toledo,"101 Maple Dr, Toledo, OH 43604",(419) 555-0104,Susan Chen,1500,10
Akron,"202 Birch Rd, Akron, OH 44308",(330) 555-0105,Michael Brown,1800,12
Dayton,"303 Cedar Pl, Dayton, OH 45402",(937) 555-0106,Jennifer Davis,2200,18
Columbus,"404 Elm Blvd, Columbus, OH 43201",(614) 555-0107,Robert Wilson,3500,30
Cleveland,"505 Spruce Way, Cleveland, OH 44115",(216) 555-0108,Linda Martinez,2800,22
Cincinnati,"606 Ash Ct, Cincinnati, OH 45203",(513) 555-0109,William Johnson,2100,17
Toledo,"707 Willow Bend, Toledo, OH 43606",(419) 555-0110,Patricia Thomas,1600,11
Akron,"808 Poplar St, Akron, OH 44304",(330) 555-0111,Richard Hernandez,1900,14
Dayton,"909 Redwood Aly, Dayton, OH 45403",(937) 555-0112,Jessica Moore,2300,19
Columbus,"111 Chestnut St, Columbus, OH 43210",(614) 555-0113,James Anderson,4000,35
Cleveland,"222 Sycamore Ave, Cleveland, OH 44113",(216) 555-0114,Barbara Rodriguez,3200,28
Cincinnati,"333 Cypress Ln, Cincinnati, OH 45204",(513) 555-0115,Joseph Taylor,2400,20
Toledo,"444 Juniper Dr, Toledo, OH 43608",(419) 555-0116,Elizabeth Clark,1700,13
Akron,"555 Hemlock Rd, Akron, OH 44311",(330) 555-0117,Daniel Lewis,2000,15
Dayton,"666 Holly Pl, Dayton, OH 45410",(937) 555-0118,Karen Hall,2600,21
Columbus,"777 Sequoia Blvd, Columbus, OH 43212",(614) 555-0119,Thomas Allen,3800,32
Cleveland,"888 Magnolia Way, Cleveland, OH 44102",(216) 555-0120,Nancy Young,3100,26
Cincinnati,"999 Dogwood Ct, Cincinnati, OH 45205",(513) 555-0121,Charles White,2300,18
Toledo,"121 Ironwood Bend, Toledo, OH 43614",(419) 555-0122,Matthew King,1800,14
Akron,"232 Aspen St, Akron, OH 44303",(330) 555-0123,Sandra Wright,2100,16
Dayton,"343 Beech Aly, Dayton, OH 45404",(937) 555-0124,Steven Scott,2700,23
Columbus,"454 Larch St, Columbus, OH 43214",(614) 555-0125,Paul Green,4200,38
Cleveland,"565 Elder Ave, Cleveland, OH 44106",(216) 555-0126,Lisa Adams,3300,27
Cincinnati,"676 Fir Ln, Cincinnati, OH 45206",(513) 555-0127,Mark Baker,2500,20
Toledo,"787 Pinecone Dr, Toledo, OH 43615",(419) 555-0128,Kevin Nelson,1900,15
Akron,"898 Yew Rd, Akron, OH 44313",(330) 555-0129,Michelle Carter,2200,17
Dayton,"901 Hawthorn Pl, Dayton, OH 45405",(937) 555-0130,Brian Mitchell,2800,24
Columbus,"1010 Orchard Blvd, Columbus, OH 43202",(614) 555-0131,Sarah Perez,4500,40
Cleveland,"1111 Grove Way, Cleveland, OH 44109",(216) 555-0132,Christopher Roberts,3400,29
Cincinnati,"1212 Park Ct, Cincinnati, OH 45207",(513) 555-0133,Amanda Turner,2600,21
Toledo,"1313 River Bend, Toledo, OH 43620",(419) 555-0134,Jason Phillips,2000,16
Akron,"1414 Meadow St, Akron, OH 44301",(330) 555-0135,Emily Campbell,2300,18
Dayton,"1515 Lake Aly, Dayton, OH 45406",(937) 555-0136,Ryan Parker,2900,25
Columbus,"1616 Forest St, Columbus, OH 43203",(614) 555-0137,Melissa Evans,5000,50
Cleveland,"1717 Hillside Ave, Cleveland, OH 44111",(216) 555-0138,George Edwards,3600,30
Cincinnati,"1818 Valley Ln, Cincinnati, OH 45208",(513) 555-0139,Laura Collins,2700,22
Toledo,"1919 Summit Dr, Toledo, OH 43623",(419) 555-0140,Edward Stewart,2100,17